NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
1,Pediatrie,Aparat digestiv,Absența scaunului la nou-născut – lipsa eliminării meconiului,G,Radiografie abdominală simplă,Indicat,A,"Evidențiază ileusul meconial, reducerea pneumatizarii intestinale, poate ridica suspiciune de boală Hirschsprung ",,1,1,Nu
2,Pediatrie,Aparat digestiv,Absența scaunului la nou-născut – lipsa eliminării meconiului,X,Irigografie,Doar în cazuri particulare,A,"Evidențiază microcolon -în ileus meconial, în boala Hirschsprung si alte  situații clinice. Efect terapeutic în ileus meconial prin utilizarea de Gastrografin ®, Manitol, etc.",,2,2,Nu
3,Pediatrie,Aparat digestiv,Absența scaunului la nou-născut – malformație anorectală,E,Ecografie abdominala si perineala,Indicat,A,"Efectuată de medici cu expertiză, poate evidenția pozitia sacului rectal față de anus, apreciind distanța până la tegument și raportul cu sfincterul, poate evidenția fistula rectoperineală, alte anomalii care pot însoți această malformație (tractul urinar, canalul spinal, coccisul)",,0,0,Nu
4,Pediatrie,Aparat digestiv,Absența scaunului la nou-născut – malformație anorectală,G,Radiografie abdominală simplă,Indicat,A,"Cu marker cutanat si riglă se poate măsura distanța de la fundul de sac rectal până la tegument. Uneori apar erori de interpretare în condițiile existenței de meconiu aderent la nivelul rectului distal, efectuării prea precoce a radiografiei, poziționării incorecte a marcajului opac sau omiterii factorului de magnificație în radiografia digitală.","S-a renunțat la radiografia în poziție anti-ortostatică (invertograma), traumatizantă. Se efectuează radiografie de profil, cu raza orizontală, în decubit ventral, cu rulou sub bazin (după minim 30 min de procubit si la minim 12 (24) ore după naștere. Marker opac de 2-3 mm plasat pe punctul anal, în pliul interfesier!",1,1,Nu
5,Pediatrie,Aparat digestiv,Absența scaunului la nou-născut – malformație anorectală,X,Cistografie micțională,Doar în cazuri particulare,A,Poate evidenția fistula rectovezicală sau alte malformații asociate celei anorectale,,2,2,Nu
6,Pediatrie,Aparat digestiv,Absența scaunului la nou-născut – malformație anorectală,M,IRM ,Doar cu aviz specializat,A,IRM asigură detalii anatomice complexe privind poziția pungii rectale și prezența sau dezvoltarea complexului muscular sfincterian. IRM spinal evaluează anomaliile vertebromedulare asociate iar IRM renourinar evaluează anomaliile aparatului urinar.,,0,0,Nu
7,Pediatrie,Aparat digestiv,Absența scaunului la nou-născut – malformație anorectală,X,Irigografia pe colostoma (Colostograma distala),Doar cu aviz specializat,A,"Se realizează inițial în decubit lateral, apoi în incidența de față, pentru a se evidenția prezența fistulelor rectoperineale, rectovezicale, rectouretrale, etc.și aprecierea dimensiunilor rectale și a distanței de la rect până la perineu",,2,2,Nu
8,Pediatrie,Aparat digestiv,Apendicită,E,Ecografie,Indicat,A,Ecografia are o bună valoare predictivă pozitivă (de confirmare a diagnosticului) în cazul unui tablou clinic sugestiv; valoarea predictivă negativă este mai mică (excluderea diagnosticului de apendicită nu trebuie sa fie o indicație de ecografie).,Cazurile de apendicită tipice clinic nu necesită imagistică. Ecografia ajută la diagnosticul diferențial. Diagnosticul de abdomen acut este de asemenea clinic.,0,0,Nu
9,Pediatrie,Aparat digestiv,Apendicită,G,Radiografie abdominală simplă,Doar în cazuri particulare,C,"Neindicată de rutină. Poate furniza date suplimentare în unele cazuri, în particular când vizualizarea ecografică e nesatisfăcătoare sau neconcluzivă. ",,1,1,Nu
10,Pediatrie,Aparat digestiv,Apendicită,T,CT,Doar cu aviz specializat,C,"Utilă la copii supraponderali, în caz de discordanțe între clinică și ecografie sau în caz de complicații.",,2,3,Nu
11,Pediatrie,Aparat digestiv,Constipație,X,Irigografie,Doar cu aviz specializat,B,"Dacă este suspectată boala Hirschsprung, pot fi utile clisma baritată, rectomanometria și biopsia rectală.",,2,2,Nu
12,Pediatrie,Aparat digestiv,Constipație,E,Ecografie,Neindicat,C,Importanța constatărilor radiologice nu a fost demonstrată. Poate fi cerută părerea unui specialist.,,0,0,Nu
13,Pediatrie,Aparat digestiv,Constipație,G,Radiografie abdominală simplă,Neindicat,C,Importanța constatărilor radiologice nu a fost demonstrată. Poate fi cerută părerea unui specialist.,,1,2,Nu
14,Pediatrie,Aparat digestiv,Durere abdominală cu examen clinic normal,G,Radiografie abdominală simplă,Doar în cazuri particulare,C,Radiografia abdominală simplă este utilă doar în prezența semnelor care orientează diagnosticul spre o patologie chirurgicală (simptomatologie de ocluzie),,1,1,Nu
15,Pediatrie,Aparat digestiv,Durere abdominală cu examen clinic normal,E,Ecografie,Doar cu aviz specializat,C,Ecografia trebuie efectuată  în cadrul unui bilanț etiologic specializat și orientată de tabloul clinico-biologic.,"Majoritatea cauzelor de durere abdominală,  moderată, neparoxistică, la copil (ca simptom izolat) nu sunt vizualizabile ecografic. Argumente diagnostice pot fi găsite în cazul unei examinari focalizate, în context clinico-biologic.",0,0,Nu
16,Pediatrie,Aparat digestiv,Durere paroxistică. Invaginație intestinală acută,E,Ecografie,Indicat,A,"În fața unor dureri acute paroxistice sincopale, ecografia este un examen foarte sensibil pentru diagnosticul pozitiv al invaginației. Dezinvaginarea prin clismă se poate efectua sub control ecografic  (de preferat pentru reducerea iradierii) sau sub control fluoroscopic. Accesul la suport chirurgical este necesar (risc de complicații).",Volvulusul intestinal trebuie avut în vedere ca diagnostic diferențial.,0,0,Nu
17,Pediatrie,Aparat digestiv,Durere paroxistică. Invaginație intestinală acută,X,Clismă salina sub control ecografic sau cu suspensie baritata / aer sub control fluoroscopic,Doar cu aviz specializat,B,"În fața unor dureri acute paroxistice sincopale, ecografia este un examen foarte sensibil pentru diagnosticul pozitiv al invaginației. Dezinvaginarea prin clismă se poate efectua sub control ecografic  (de preferat pentru reducerea iradierii) sau sub control fluoroscopic. Accesul la suport chirurgical este necesar (risc de complicații).",Volvulusul intestinal trebuie avut în vedere ca diagnostic diferențial.,1,2,Da
18,Pediatrie,Aparat digestiv,Icter neonatal colestatic persistent timp de 1 lună,E,Ecografie,Indicat,B,O investigație precoce (înainte de 8 săptămâni) este esențială. Absența dilatației de căi biliare și prezența colecistului nu exclude diagnosticul de atrezie.,Colecistul foarte mic la ecografii repetate este un argument important pentru atrezia biliară.,0,0,Nu
19,Pediatrie,Aparat digestiv,Icter neonatal colestatic persistent timp de 1 lună,M,IRM - Colangio IRM,Doar cu aviz specializat,B,Colangio-IRM-ul este util în evaluarea preoperatorie a dilatațiilor arborelui biliar (identificate ecografic).,,0,0,Nu
20,Pediatrie,Aparat digestiv,Icter neonatal colestatic persistent timp de 1 lună,N,Scintigrafie (99mTc-HIDA),Doar cu aviz specializat,B,"Investigarea anomaliilor congenitale ale sistemului biliar, inclusiv atrezia biliară și chisturile coledociene.",,2,3,Nu
21,Pediatrie,Aparat digestiv,"Ingestie sau inhalație de corp străin, la copil",G,"Radiografie abdominală simplă, toracică, cervicală",Doar în cazuri particulare,C,"Radiografia cervico-toraco-abdominală este utilă inițial  doar în cazul ingestiei de corp străin ascuțit sau potențial toxic (inclusiv baterii sau magneți) și care poate fi vizibil radiologic. Dacă evacuarea corpului străin (potențial vizualizabil) nu este sigură, trebuie efectuată eventual o radiografie abdominală simplă la 6 zile. Radiografia toracică de față în inspir și expir este indicată pentru a identifica o tulburare de ventilație localizată dar radiografia, chiar și în expir poate fi normală; orice dubiu impune bronhoscopie. Radiografia toracică, incluzând regiunea cervicală, este utilă în cazul unei disfagii.  Radiografia cervicală de profil poate completa examenul clinic (ORL).",,1,1,Nu
22,Pediatrie,Aparat digestiv,Melenă,Z,Explorari imagistice,Neindicat în primă intenție,C,"Endoscopia este de primă intenție. Alte investigații sunt doar complementare, în cazuri particulare.",,0,3,
23,Pediatrie,Aparat digestiv,Rectoragie (semnificativă și de cauză neevidentă),N, Scintigrafie (Na[99mTc]TcO4),Doar cu aviz specializat,C,"Scintigrafia cu 99mTc- pertechnetat poate localiza anumiți diverticuli Meckel cu mucoasă gastrică ectopică, la pacienții care prezintă pierdere de sânge ocultă sau acută sau simptome abdominale inexplicabile.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",2,2,Nu
24,Pediatrie,Aparat digestiv,Rectoragie (semnificativă și de cauză neevidentă),E,Ecografie,Indicat,C,"Ecografia poate orienta diagnosticul spre o leziune localizată de intestin subțire sau colon (duplicație intestinală, polip, diverticul Meckel, invaginație);  este diagnostică pentru invaginație dar nu poate exclude un diverticul Meckel sau  polip.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",0,0,Nu
25,Pediatrie,Aparat digestiv,Rectoragie (semnificativă și de cauză neevidentă),G,Radiografie abdominală,Doar în cazuri particulare,C,"Radiografia abdominală este utilă doar la noul-născut pentru diagnosticul enterocolitei ulcero-necrotice. La copilul mai mare, endoscopia este examenul de primă intenție ce poate aduce cea mai mare contribuție la diagnostic.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",1,2,Nu
26,Pediatrie,Aparat digestiv,Rectoragie (semnificativă și de cauză neevidentă),X,Tranzit de intestine subțire,Neindicat,C,"În caz de suspiciune de diverticul Meckel, tranzitul intestinal nu este util deoarece este iradiant și puțin performant. Laparoscopia trebuie să fie preferată când semnele clinice sunt evocatoare.","Rectoragia minoră și/sau pasageră, asociată cu constipație/diaree sau cu leziuni anale nu necesită investigație imagistică.",3,3,Nu
27,Pediatrie,Aparat digestiv,Vărsături acute la copil,Z,Explorari imagistice,Neindicat în primă intenție,B,"De obicei, vărsăturile la copil sunt cauzate de schimbarea sau diversificarea alimentației, greșeli alimentare, infecții de căi respiratorii, febră, gastroenterite, enteroviroze, enterocolite (inclusiv în fază pre-diareică). Imagistica poate deveni utilă după excluderea cauzelor obișnuite, ghidată de contextul clinic și evoluție.","Abdomenul acut, durerile paroxistice, deteriorarea stării generale, rectoragiile importante, vărsăturile bilioase, agravarea sub tratament - necesită consult chirurgical și aviz de specialitate pentru explorări imagistice.",0,3,
28,Pediatrie,Aparat digestiv,Vărsături cronice/recurente fără cauză evidentă,G,Radiografia abdominala simplă,Doar în cazuri particulare,B,Radiografia abdominală simplă poate identifica nivelul obstrucției intestinale.,,1,2,Nu
29,Pediatrie,Aparat digestiv,Vărsături cronice/recurente fără cauză evidentă,E,Ecografie,Doar cu aviz specializat,C,"De obicei, vărsăturile la copil sunt cauzate de schimbarea sau diversificarea alimentației, greșeli alimentare, infecții de căi respiratorii, febră, gastroenterite, enteroviroze, enterocolite (inclusiv în fază pre-diareică). Imagistica poate deveni utilă după excluderea cauzelor obișnuite, ghidată de contextul clinic și evoluție. Ecografia poate fi utilă în evaluarea axelor vasculare mezeterice (malrotație)  și a arborelui biliar.","Deși poate identifica reflux gastro-esofagian, ecografia nu duce la schimbarea atitudinii terapeutice. Ecografia nu poate exclude refluxul (pH-metria este examenul  de referință).",0,0,Nu
30,Pediatrie,Aparat digestiv,Vărsături cronice/recurente fără cauză evidentă,X,Tranzit eso- gastro- duodenal,Doar cu aviz specializat,B,"Tranzitul eso-gastro-duodenal nu este indicat în caz de reflux gastro-esofagian (pH-metria este examenul de referință). Această investigație poate fi interesantă pentru căutarea unei hernii hiatale sau malrotații, mai ales în cazul în care este avut în vedere un tratament chirurgical. Dacă vărsăturile sunt bilioase, recurgerea la tranzitul eso-gastro- duodenal poate fi luată în discuție.",,2,2,Nu
31,Pediatrie,Aparat digestiv,"Vărsături în jet agravate, în primele trei luni",E,Ecografie,Indicat,A,Ecografia este indicată pentru diagnosticul stenozei hipertrofice de pilor. ,Tranzitul baritat poate pune diagnosticul dar nu este indicat decât în situațiile în care ecografia nu este disponibilă (limite tehnice sau de expertiză).,0,0,Nu
32,Pediatrie,Aparat digestiv,Vărsături în jet la nou-născut,E,Ecografie,Indicat,A,"Ecografia efectuată de medici cu expertiză poate evidenția o serie de malformații digestive: stenoză duodenală, volvulus intestinal, malrotație intestinală, peritonită meconială ",,0,0,Nu
33,Pediatrie,Aparat digestiv,Vărsături în jet la nou-născut,G,Radiografie abdominală simplă,Doar în cazuri particulare,A,"În absența unui expert sau în urgență, se poate face radiografia abdominală simplă care evidențiază stenoza duodenală sau orientează diagnosticul către ocluzia neonatală înaltă (atrezie intestinală, peritonită meconială, etc)",,1,1,Nu
34,Pediatrie,Aparat digestiv,Vărsături în jet la nou-născut,X,Tranzit eso- gastro- duodenal,Doar cu aviz specializat,A,Evidențiază distensia gastrică / a anselor cu stopul substanței de contrast la nivelul obstrucției,,1,2,Nu
35,Pediatrie,Aparat digestiv,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
36,Pediatrie,Aparat locomotor,Boala Osgood-Schlatter,G,Radiografie standard de genunchi,Doar în cazuri particulare,C,"Diagnosticul este clinic. Anomaliile osoase radiologice observate în boala Osgood-Schlatter pot corespunde unor variante de normal. Tumefacția țesuturilor moi trebuie evaluată clinic. Afectarea este de obicei bilaterală, în prezența unei simptomatologii asimetrice sau unilaterale se pot face radiografii (pentru excluderea unei alte patologii) ",,1,1,Nu
37,Pediatrie,Aparat locomotor,Displazia congenitală de șold,E,Ecografie,Indicat,A,"Ecografia este indicată la vârsta de 4-6 săptămâni în cazul existenței de factori de risc (antecedente, prezentație pelvină, sarcină gemelară, deformații membre) sau semne clinice (asimetrie de abducție, manevra Barlow, Ortolani). Radiografia poate fi necesară la copiii mai mari (peste 4-6 luni).",În unele țări se realizează screening ecografic general la 3-6 săptămâni.,0,0,Nu
38,Pediatrie,Aparat locomotor,Durere osoasă focalizată,G,Radiografie standard,Indicat,B,"Radiografia este investigația de primă linie. La momentul inițial, radiografiile pot fi normale și poate fi indicată repetarea în evoluție.","Decelarea unor infecții sau tumori este urmată de explorări suplimentare, cu aviz specializat.",1,1,Nu
39,Pediatrie,Aparat locomotor,Durere osoasă focalizată,E,Ecografie,Doar în cazuri particulare,C,Ecografia poate fi utilă pentru detecția de infecții sau fracturi nevizualizate (încă) radiografic.,,0,0,Nu
40,Pediatrie,Aparat locomotor,Durere osoasă focalizată,M,IRM,Doar în cazuri particulare,B,"IRM-ul este util în cazul în care copilul poate localiza locul dureros, putând identifica fracturi oculte când radiografia e normală.",Doar când se iau în discuție diagnostice diferențiale de tumoră sau infecție.,0,0,Nu
41,Pediatrie,Aparat locomotor,Durere osoasă focalizată,N,"Scintigrafie osoasă (99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB și SPECT-CT",Doar cu aviz specializat,B,"Scintigrafia este utilă dacă durerea nu este bine localizată dar se suspectează o infecție sau traumă recentă. Pentru o suspiciune de infecție se poate indica scintigrafie cu radiotrasori specifici (leucocite radiomarcate, anticorpi monoclonali radiomarcati) sau PET-CT cu F18-FDG (în funcție de disponibilitate). ",,3,3,Nu
42,Pediatrie,Aparat locomotor,Durere osoasă focalizată,T,CT,Doar cu aviz specializat,B,CT-ul este util in diagnosticul osteomului osteoid. Poate identifica fracturi oculte când radiografia este normală.,,2,2,Nu
43,Pediatrie,Aparat locomotor,Scolioză,G,Radiografie standard,Doar cu aviz specializat,C,Radiografierea coloanei vertebrale este efectuată pentru stabilirea diagnosticului pozitiv și pentru bilanțul preoperator. Nu trebuie repetată sistematic în afara perioadelor de evolutivitate clinică manifestă (în general în perioada de creștere a copilului). ,Protocol special al radiografiei de coloană în caz de scolioză. Pentru monitorizarea evoluției curburilor se realizează radiografii cu doză redusă.,1,1,Nu
44,Pediatrie,Aparat locomotor,Scolioză,M,IRM,Doar cu aviz specializat,C,"IRM-ul este util în prezența unei scolioze dureroase, în context malfomativ, în caz de semne neurologice sau în bilanțul preoperator al scoliozelor. ",,0,0,Nu
45,Pediatrie,Aparat locomotor,Scolioză,T,CT,Doar cu aviz specializat,C,CT-ul este util în caz de malformații vertebrale în bilanțul preoperator.,,2,2,Nu
46,Pediatrie,Aparat locomotor,Șold dureros Defect de mers,E,Ecografie,Indicat,B,"Ecografia identifică lichidul sinovial, dar nu poate diferenția sinovita coxofemurală de osteoartrită, epifizioliză sau osteocondrită (Legg-Calve). Se asociază radiografiei de bazin.",,0,0,Nu
47,Pediatrie,Aparat locomotor,Șold dureros Defect de mers,G,Radiografie standard de bazin,Indicat,C,"Dacă este avută în vedere epifizioliza / alunecarea epifzară, trebuie efectuat în plus față de rg. de față și radiografie de profil pentru fiecare șold. ",,1,2,Nu
48,Pediatrie,Aparat locomotor,Șold dureros Defect de mers,M,IRM ,Doar în cazuri particulare,B,"Dacă radiografiile sunt normale și se presupune existența unei infecții sau osteocondrită (Legg-Calve), sau când simptomatologia persistă, se poate avea în vedere IRM-ul .",,0,0,Nu
49,Pediatrie,Aparat locomotor,Șold dureros Defect de mers,N,"Scintigrafie osoasă (99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB și SPECT-CT",Doar în cazuri particulare,B,"Dacă radiografiile sunt normale și se presupune existența unei infecții, se poate avea în vedere scintigrafia (sau examen PET-CT cu F18-FDG)",,3,3,Nu
50,Pediatrie,Aparat locomotor,"Talie mică, întârziere de creștere",E,Ecografie,Doar cu aviz specializat,B,"Ecografia pelvină este indicată pentru aprecierea aspectului organelor genitale interne (uter, ovare, grad de dezvoltare hormono-dependentă si căutarea unor malformații ale acestora)",,0,0,Nu
51,Pediatrie,Aparat locomotor,"Talie mică, întârziere de creștere",G,Radiografie standard,Doar cu aviz specializat,A,"Radiografia de mână-pumn stânga (sau partea nedominantă) în incidență de față, după vârsta de 1 an, este utilă pentru aprecierea vârstei osoase. Pentru căutarea semnelor de osteocondrodisplazie pot fi utile alte radiografii ale scheletului.",,1,1,Nu
52,Pediatrie,Aparat locomotor,"Talie mică, întârziere de creștere",M,IRM,Doar cu aviz specializat,B,Un examen IRM al regiunii hipotalamo-hipofizare poate fi indicat în anumite cazuri.,,0,0,Nu
53,Pediatrie,Aparat locomotor,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
54,Pediatrie,Gât și coloană vertebrală,Adenopatii  cervicale,E,Ecografie,Doar în cazuri particulare,C,"Pentru adenopatiile copilului, cu caractere inflamatorii sau într-un context sugestiv pentru infecție, nu este necesară imagistica în primă intenție. In caz de adenopatii persistente se recomandă ecografie, eventual IRM sau CT ulterior (vezi și Capitolul: Cancer - Adenopatii cervicale). În caz de adenopatii complicate (abces, flegmon) poate fi uneori necesară explorarea imagistică, începând cu ecografia.",,0,0,Nu
55,Pediatrie,Gât și coloană vertebrală,Anomalii cutanate  sau hipertricoza de linie mediană posterioară,E,Ecografie,Doar în cazuri particulare,B,"Înaintea vârstei de doua luni, în caz de context malformativ sau dacă leziunea este de peste 5 mm și se situează la mai mult de 25 mm de anus este justificată efectuarea de examen ecografic. ",,0,0,Nu
56,Pediatrie,Gât și coloană vertebrală,Anomalii cutanate  sau hipertricoza de linie mediană posterioară,M,IRM,Doar în cazuri particulare,B,"IRM-ul nu este indicat decât în caz de existență a semnelor asociate (pes cavus, vezică neurologică), anomalie cutanata situata inalt sau anomalii spinale descoperite ecografic.",,0,0,Nu
57,Pediatrie,Gât și coloană vertebrală,Durere vertebrală,G,Radiografie standard,Indicat,B,"Radiografia contribuie la diagnostic în cazul unei dureri localizate persistente,  în cazul unei anomalii congenitale sau al unor tulburări de statică.","În cazul durerii netraumatice, persistența mai mult de câteva săptamâni și asocierea redorii necesită explorarea imagistică. ",1,1,Nu
58,Pediatrie,Gât și coloană vertebrală,Durere vertebrală,M,IRM,Doar cu aviz specializat,B,"IRM-ul este indicat în cazul în care durerea persistă și radiografiile sunt normale. IRM-ul arată anomaliile rahidiene, discale, medulare și paravertebrale.","În cazul durerii netraumatice, persistența mai mult de câteva săptamâni și asocierea redorii necesită explorarea imagistică. ",0,0,Nu
59,Pediatrie,Gât și coloană vertebrală,Durere vertebrală,N,"Scintigrafie osoasă (99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB și SPECT-CT",Doar cu aviz specializat,B,Este indicată ca alternativă la IRM in circumstanțe specifice (pentru diagnosticul leziunilor de stres si spondilolizei).,,3,3,Nu
60,Pediatrie,Gât și coloană vertebrală,Durere vertebrală,T,CT,Doar cu aviz specializat,B,CT-ul este util pentru caracterizarea unei anomalii descoperite la scintigrafie sau IRM (ex. Osteom osteoid) sau în anomalii vertebrale malformative.,,2,2,Nu
61,Pediatrie,Gât și coloană vertebrală,Hipotiroidie congenitală,E,Ecografie,Doar cu aviz specializat,A,Ecografia poate stabili diagnosticul de agenezie sau gușă congenitală.,,0,0,Nu
62,Pediatrie,Gât și coloană vertebrală,Hipotiroidie congenitală,N,"Scintigrafie (99mTc pertechnetat, Iod 123)",Doar cu aviz specializat,A,"Scintigrafia tiroidiana cu Iod 123 sau 99mTc pertechnetat permite diagnosticul de ectopie, agenezie, hipoplazie.",,3,3,Nu
63,Pediatrie,Gât și coloană vertebrală,"Rinofaringite recidivante, Congestie nazală",G,Radiografie standard cavum profil,Neindicat,C,Radiografia de profil de cavum nu este utilă pentru a fi efectuată de rutină. Ea nu contribuie la luarea deciziei chirurgicale. Indicațiile de adenoidectomie se bazează pe clinică. ,,1,1,Nu
64,Pediatrie,Gât și coloană vertebrală,Spina bifida ocultă L5 sau S1,Z,Examene imagistice,Doar în cazuri particulare,B,"Defectul de închidere a arcurilor posterioare este o variantă radiologică frecventă și puțin semnificativă dacă este izolată (sau chiar însoțită de enurezis). Această situație nu justifică efectuarea de examene complementare de tip IRM, decât în cazul în care sunt asociate semne neurologice.",,0,3,
65,Pediatrie,Gât și coloană vertebrală,Torticolis la nou-născut,E,Ecografie,Indicat,A,Arată tumefiere segmentară și  modificări de ecogenitate  ale mușchiului sternocleidomastoidian.,"În torticolisul neonatal, dg. este clinic. Se poate completa, în cazuri particulare, cu ecografie cervicală și eventual ecografie transfontanelară.",0,0,Nu
66,Pediatrie,Gât și coloană vertebrală,Torticolis la nou-născut,G,Radiografie coloana cervicala,Neindicat,B,"De obicei este vorba de o leziune miofibroblastică -declansată de traumatism minor, cu evoluție autolimitată","În torticolisul neonatal, dg. este clinic. Se poate completa în cazuri particulare, cu ecografie.",1,1,Nu
67,Pediatrie,Gât și coloană vertebrală,Torticolis netraumatic,G,Radiografie standard (coloană cervicală),Neindicat,B,"Devierea gâtului este adesea consecutivă unei contracturi, fără asociere cu leziune osoasă. Dacă simptomele persistă, sunt indicate alte tehnici imagistice (CT sau IRM) după un consult specializat.",,1,1,Nu
68,Pediatrie,Gât și coloană vertebrală,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
69,Pediatrie,Oncologie,Tumori cerebrale și medulare la copil,M,IRM cerebral (± medular) cu contrast,Indicat,A,Examenul de referință pentru diagnostic și bilanț; explorare cranio-spinală când există risc de diseminare (ex. meduloblastom). Cu și fără contrast.,,0,0,Nu
70,Pediatrie,Oncologie,Tumori cerebrale și medulare la copil,T,CT cerebral,Doar în cazuri particulare,B,"Rezervat urgenței (hidrocefalie, herniere, hemoragie) sau situațiilor în care IRM nu este disponibil; util pentru calcificări.",,2,2,Nu
71,Pediatrie,Oncologie,Retinoblastom (leucocorie / strabism),M,IRM orbite și cerebral cu contrast,Indicat,A,"Examenul de referință: extensie extraoculară, a nervului optic și intracraniană; glandă pineală (retinoblastom trilateral). Cu și fără contrast.",,0,0,Nu
72,Pediatrie,Oncologie,Retinoblastom (leucocorie / strabism),E,Ecografie oculară,Indicat,B,Evidențiază masa intraoculară și calcificările; utilă la prezentare (leucocorie).,,0,0,Nu
73,Pediatrie,Oncologie,Retinoblastom (leucocorie / strabism),T,CT orbite,Neindicat,B,De evitat la copil: iradiere oculară și risc crescut de a doua neoplazie la purtătorii mutației RB1. Înlocuit de IRM.,,2,2,Nu
74,Pediatrie,Oncologie,Masă abdominală sau pelvină palpabilă,E,Ecografie,Indicat,B,"În caz de confirmare a masei la ecografie, sunt indicate alte examene imagistice doar cu aviz specializat. Diagnostic diferențial (masă abdomino-pelvină la copil): nefroblastom (tumoră Wilms), neuroblastom, hepatoblastom, limfom abdominal (Burkitt), tumori germinale / teratom, nefrom mezoblastic (sugar). Ecografia orientează organul de origine; caracterizarea și stadializarea se fac prin IRM/CT.",,0,0,Nu
75,Pediatrie,Oncologie,Masă abdominală sau pelvină palpabilă,G,Radiografie abdominală simplă,Indicat,B,"În caz de confirmare a masei prin acestă tehnică de investigație, sunt indicate alte examene imagistice cu aviz specializat. Diagnostic diferențial (masă abdomino-pelvină la copil): nefroblastom (tumoră Wilms), neuroblastom, hepatoblastom, limfom abdominal (Burkitt), tumori germinale / teratom, nefrom mezoblastic (sugar). Ecografia orientează organul de origine; caracterizarea și stadializarea se fac prin IRM/CT.",,2,2,Nu
76,Pediatrie,Oncologie,Masă abdominală sau pelvină palpabilă,M,IRM,Doar cu aviz specializat,B,"IRM-ul pelvin este de preferat CT pentru evaluarea maselor pelvine. Diagnostic diferențial (masă abdomino-pelvină la copil): nefroblastom (tumoră Wilms), neuroblastom, hepatoblastom, limfom abdominal (Burkitt), tumori germinale / teratom, nefrom mezoblastic (sugar). Ecografia orientează organul de origine; caracterizarea și stadializarea se fac prin IRM/CT.",,0,0,Nu
77,Pediatrie,Oncologie,Masă abdominală sau pelvină palpabilă,T,CT,Doar cu aviz specializat,B,"Decizia investigării CT sau IRM este multifactorială și este luată de radiolog. Diagnostic diferențial (masă abdomino-pelvină la copil): nefroblastom (tumoră Wilms), neuroblastom, hepatoblastom, limfom abdominal (Burkitt), tumori germinale / teratom, nefrom mezoblastic (sugar). Ecografia orientează organul de origine; caracterizarea și stadializarea se fac prin IRM/CT.",,2,3,Nu
78,Pediatrie,Oncologie,Neuroblastom – stadializare,N,Scintigrafie MIBG (I-123),Indicat,A,"Trasor specific (meta-iodobenzilguanidină): esențial în stadializare (extensie, metastaze) și în evaluarea răspunsului la tratament.",,3,3,Nu
79,Pediatrie,Oncologie,Limfom (Hodgkin / non-Hodgkin) la copil – bilanț și stadializare,T,CT cervico-toraco-abdomino-pelvin cu contrast,Indicat,B,"Bilanț de extensie ganglionar și visceral, cu contrast. Masa mediastinală este o prezentare frecventă.",,2,3,Nu
80,Pediatrie,Oncologie,Limfom (Hodgkin / non-Hodgkin) la copil – bilanț și stadializare,N,PET-CT (F18-FDG),Indicat,B,Stadializare metabolică și evaluarea răspunsului la tratament (mai ales limfomul Hodgkin).,,3,3,Nu
81,Pediatrie,Oncologie,Limfom (Hodgkin / non-Hodgkin) la copil – bilanț și stadializare,E,Ecografie,Doar în cazuri particulare,B,Utilă pentru adenopatiile superficiale și evaluarea abdominală; fără iradiere.,,0,0,Nu
82,Pediatrie,Oncologie,Limfom (Hodgkin / non-Hodgkin) la copil – bilanț și stadializare,M,IRM,Doar în cazuri particulare,B,"Alternativă la CT pentru limitarea iradierii sau pentru sedii specifice (SNC, os, părți moi).",,0,0,Nu
83,Pediatrie,Oncologie,"Tumori osoase la copil (osteosarcom, sarcom Ewing)",G,Radiografie standard,Indicat,A,"Primă intenție; aspectul radiologic orientează diagnosticul (osteosarcom, sarcom Ewing).",,1,1,Nu
84,Pediatrie,Oncologie,"Tumori osoase la copil (osteosarcom, sarcom Ewing)",M,IRM (segment + os întreg),Indicat,A,"Bilanț local de referință: extensie medulară și în părțile moi, leziuni „skip"". Explorarea întregului os.",,0,0,Nu
85,Pediatrie,Oncologie,"Tumori osoase la copil (osteosarcom, sarcom Ewing)",T,CT toracic,Indicat,B,Depistarea metastazelor pulmonare (stadializare).,,2,3,Nu
