NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
912,Sân,Paciente asimptomatice,"Depistare (Screening): femei cu risc crescut de a dezvolta cancer mamar, inclusiv cele cu antecedente heredocolaterale (AHC) și cele cu radioterapie mediastinală anterioară",E,Ecografie,Indicat,B,"Adjuvant al mamografiei la femeile cu sân dens și la femeile cu implant mamar, în special la cele care nu pot fi investigate prin IRM. Accesibilitatea la metodă în România este mai mare decât la IRM.",,0,0,Nu
913,Sân,Paciente asimptomatice,"Depistare (Screening): femei cu risc crescut de a dezvolta cancer mamar, inclusiv cele cu antecedente heredocolaterale (AHC) și cele cu radioterapie mediastinală anterioară",G,Mamografie,Indicat,B,Femeile cu AHC ar trebui adresate către un centru specializat de evaluare a riscului. Includerea în programul de screening ar trebui decisă în funcție de evaluarea riscului genetic (mutații BRCA) și a raportului risc/beneficiu.,,1,1,Nu
914,Sân,Paciente asimptomatice,"Depistare (Screening): femei cu risc crescut de a dezvolta cancer mamar, inclusiv cele cu antecedente heredocolaterale (AHC) și cele cu radioterapie mediastinală anterioară",M,IRM,Indicat,B,"Screeningul IRM anual: adjuvant al mamografiei la femei cu risc crescut sau AHC de cancer mamar, adresate de centre specializate în evaluarea riscului. IRM este cost/eficientă la persoane BRCA 1 și 2 pozitive.",,0,0,Nu
915,Sân,Paciente asimptomatice,"Depistare (Screening): femei peste 50 ani, la inițiere sau sub tratament hormonal substitutiv (THS)",G,Mamografie,Indicat,A,Ritmul supravegherii unei femei aflate sub tratament hormonal substitutiv nu diferă de cel al populației generale.,,1,1,Nu
916,Sân,Paciente asimptomatice,"Depistare (Screening): femei peste 50 ani, la inițiere sau sub tratament hormonal substitutiv (THS)",E,Ecografie,Neindicat,B,Ecografia mamară este utilă ca examen complementar în cazul unui sân dens și al femeilor cu proteze.,,0,0,Nu
917,Sân,Paciente asimptomatice,"Depistare (Screening): femei sub 50 ani, la inițiere sau sub tratament hormonal substitutiv (THS)",E,Ecografie,Indicat,B,Adjuvant al mamografiei la femei cu sân dens și la femei cu implant mamar,,0,0,Nu
918,Sân,Paciente asimptomatice,"Depistare (Screening): femei sub 50 ani, la inițiere sau sub tratament hormonal substitutiv (THS)",G,Mamografie,Indicat,C,"THS crește densitatea glandulară mamară și incidența leziunilor benigne, afectând negativ performanța screeningului. THS crește riscul de cancer de interval. Nu există studii care să susțină eficiența efectuării de rutină a mamografiei înainte de inițierea THS, dar este utilă pentru excluderea unui proces malign la inițierea tratamentului.",,1,1,Nu
919,Sân,Paciente asimptomatice,Depistare (Screening): femei cu vârste între 40-49 ani,E,Ecografie,Indicat,A,Ecografia poate fi utilă ca adjuvant al mamografiei la femei cu sân dens și la femei cu implante.,,0,0,Nu
920,Sân,Paciente asimptomatice,Depistare (Screening): femei cu vârste între 40-49 ani,G,Mamografie,Indicat,A,"În caz de screening oportunistic (cel mai frecvent la solicitarea femeii de investigare a sânului), la 2 ani interval. Preferabil mamografie digitală, mai sensibilă în sânul cu structură glandulară densă.",,1,1,Nu
921,Sân,Paciente asimptomatice,Depistare (Screening): femei cu vârste între 50-70 ani,G,Mamografie,Indicat,A,"Evidența bazată pe dovezi confirmă necesitatea și oportunitatea screeningului mamar, prin mamografie în două incidențe pentru fiecare sân, la 2 ani interval.",,1,1,Nu
922,Sân,Paciente asimptomatice,Depistare (Screening): femei cu vârste între 50-70 ani,E,Ecografie,Neindicat,B,"Ecografia e indicată în diagnostic, nu în screening.",,0,0,Nu
923,Sân,Paciente asimptomatice,Depistare (Screening): femei cu vârste peste 70 ani,G,Mamografie,Indicat,A,"În caz de screening oportunistic (cel mai frecvent la solicitarea femeii de investigare a sânului), deoarece riscul de cancer de sân crește cu vârsta.",,1,1,Nu
924,Sân,Paciente asimptomatice,Depistare (Screening): femei cu vârste peste 70 ani,E,Ecografie,Neindicat,C,,,0,0,Nu
